order_book_id,date,open,volume,close,low,total_turnover,prev_close,high
399976.XSHE,2014-08-18,1604.838,967872031.0,1623.554,1604.838,14180794149.0,1608.231,1623.554
399976.XSHE,2014-08-19,1635.72,1197095371.0,1644.279,1629.126,17785151125.0,1623.554,1646.612
399976.XSHE,2014-08-20,1652.948,1184234461.0,1643.27,1638.04,17694106312.0,1644.279,1654.928
399976.XSHE,2014-08-21,1645.799,1437262636.0,1631.813,1611.9029999999998,19398411892.0,1643.27,1645.799
399976.XSHE,2014-08-22,1627.66,1159962146.0,1631.372,1617.7020000000002,15432188128.0,1631.813,1634.08
399976.XSHE,2014-08-26,1607.066,1176710982.0,1588.162,1580.886,15171037880.0,1631.372,1613.876
399976.XSHE,2014-08-27,1591.719,864677865.0,1594.495,1590.121,11187713444.0,1588.162,1601.828
399976.XSHE,2014-08-28,1596.642,878345846.0,1578.0479999999998,1571.723,11659680720.0,1594.495,1596.642
399976.XSHE,2014-09-01,1604.856,942897377.0,1628.8429999999994,1604.856,13289600331.0,1578.0479999999998,1629.0079999999994
399976.XSHE,2014-09-02,1632.814,1286595982.0,1648.5320000000006,1624.859,18020961076.0,1628.8429999999994,1648.7679999999998
399976.XSHE,2014-09-05,1662.165,1394271095.0,1675.917,1654.947,20051369272.0,1648.5320000000006,1676.5
399976.XSHE,2014-09-11,1699.329,1463303595.0,1681.994,1675.401,19849537715.0,1675.917,1710.622
399976.XSHE,2014-09-15,1689.368,1245019312.0,1694.5279999999998,1679.789,15955818554.0,1681.994,1695.725
399976.XSHE,2014-09-16,1692.6,1506747694.0,1631.287,1630.2520000000006,20043000023.0,1694.5279999999998,1694.145
399976.XSHE,2014-09-24,1638.2679999999998,1108211381.0,1669.434,1633.446,14336362772.0,1631.287,1669.434
399976.XSHE,2014-09-25,1675.378,1232165114.0,1673.345,1667.53,16205134231.0,1669.434,1690.8870000000006
399976.XSHE,2014-10-08,1696.378,954183976.0,1709.716,1686.81,13015222009.0,1673.345,1709.716
399976.XSHE,2014-10-13,1703.414,1028122247.0,1709.75,1685.865,14584674317.0,1709.716,1709.75
399976.XSHE,2014-10-14,1709.656,1206257474.0,1705.208,1692.1129999999994,17991128208.0,1709.75,1721.909
399976.XSHE,2014-10-15,1702.039,1054269121.0,1697.721,1680.737,14865901336.0,1705.208,1703.944
399976.XSHE,2014-10-22,1653.204,771956562.0,1631.75,1630.285,10882507692.0,1697.721,1658.651
399976.XSHE,2014-10-23,1631.689,792337048.0,1622.027,1616.764,10989182099.0,1631.75,1640.4070000000006
399976.XSHE,2014-10-28,1627.505,930873278.0,1663.5510000000006,1627.505,13500339526.0,1622.027,1663.5510000000006
