order_book_id,date,prev_close,low,volume,close,high,total_turnover,open
000941.XSHG,2015-03-17,1706.977,1701.956,1405308600.0,1724.948,1729.8429999999994,22181254903.0,1713.4489999999994
000941.XSHG,2015-03-18,1724.948,1725.2320000000002,1498233800.0,1757.1029999999994,1758.2820000000006,23698962012.0,1728.4489999999994
000941.XSHG,2015-03-19,1757.1029999999994,1745.639,1526201600.0,1775.811,1776.027,24332941398.0,1759.151
000941.XSHG,2015-03-20,1775.811,1771.441,1446299100.0,1788.695,1793.365,23679138841.0,1780.825
000941.XSHG,2015-03-23,1788.695,1796.1429999999998,1375143200.0,1823.492,1823.663,24226774387.0,1796.164
000941.XSHG,2015-03-24,1823.492,1762.027,1643997600.0,1808.859,1831.412,28318427100.0,1830.561
000941.XSHG,2015-03-25,1808.859,1795.869,1373373000.0,1819.715,1831.912,24343585470.0,1808.084
000941.XSHG,2015-03-26,1819.715,1798.826,1252135700.0,1816.522,1842.501,23260377250.0,1815.791
000941.XSHG,2015-03-27,1816.522,1813.357,1241204300.0,1864.345,1868.267,23003891668.0,1815.119
000941.XSHG,2015-03-30,1864.345,1885.813,1969641000.0,1918.78,1928.381,34440184352.0,1885.813
000941.XSHG,2015-03-31,1918.78,1905.912,1776502200.0,1930.244,1954.91,31715041455.0,1926.782
000941.XSHG,2015-04-01,1930.244,1934.13,1936684100.0,2025.277,2032.429,36602295536.0,1934.772
000941.XSHG,2015-04-02,2025.277,2041.202,2358336200.0,2086.178,2086.611,45114238788.0,2050.502
000941.XSHG,2015-04-03,2086.178,2060.355,1915416100.0,2098.631,2101.2670000000007,36043067751.0,2079.076
000941.XSHG,2015-04-07,2098.631,2103.297,1846323700.0,2121.28,2121.87,35555821816.0,2108.124
000941.XSHG,2015-04-08,2121.28,2066.737,2226668300.0,2105.627,2144.266,42733315955.0,2134.252
000941.XSHG,2015-04-09,2105.627,2000.58,1787565000.0,2064.856,2103.983,34406089212.0,2102.088
000941.XSHG,2015-04-10,2064.856,2047.322,1476815000.0,2121.481,2128.926,29406085383.0,2057.202
