order_book_id,date,high,prev_close,volume,open,low,close,total_turnover
399808.XSHE,2018-02-12,1645.5510000000006,1576.064,1020427305.0,1586.6857,1586.6857,1642.3267,15921260362.0
399808.XSHE,2018-02-13,1666.3282,1642.3267,946518898.0,1655.9962,1648.0049,1649.5672,16326178549.0
399808.XSHE,2018-02-14,1667.7946,1649.5672,629217119.0,1656.749,1648.1739,1667.0097,11300335151.0
399808.XSHE,2018-02-22,1707.401,1667.0097,983827380.0,1682.4211,1679.8693,1696.8736,16383562157.0
399808.XSHE,2018-02-23,1699.1288,1696.8736,948912962.0,1693.8836,1678.1164,1699.098,16253482914.0
399808.XSHE,2018-02-26,1746.2551,1699.098,1351895046.0,1708.3629,1705.7773,1740.0571,22087758505.0
399808.XSHE,2018-02-27,1751.7146,1740.0571,1188831716.0,1734.9644,1731.5337,1740.5608,19207349390.0
399808.XSHE,2018-02-28,1759.5566,1740.5608,1242742302.0,1726.7388,1718.0717,1752.453,20289734742.0
399808.XSHE,2018-03-01,1778.6599,1752.453,1153796239.0,1741.0917,1736.8441,1776.1169,19617276579.0
399808.XSHE,2018-03-02,1787.8083,1776.1169,1155856232.0,1765.7364,1758.8397,1761.5786,18863210032.0
399808.XSHE,2018-03-05,1772.5346,1761.5786,883308056.0,1766.655,1758.2115,1772.3148,15197701802.0
399808.XSHE,2018-03-06,1789.6648,1772.3148,1110215242.0,1775.233,1774.0723,1789.4592,18047389402.0
399808.XSHE,2018-03-07,1793.2605,1789.4592,1063581650.0,1788.3632,1775.8863,1777.009,17443817760.0
399808.XSHE,2018-03-08,1785.3431,1777.009,1027869091.0,1775.8878,1764.9374,1774.4301,16243958150.0
399808.XSHE,2018-03-09,1809.1154,1774.4301,1300419756.0,1776.5449,1776.4231,1807.4541,19195357922.0
399808.XSHE,2018-03-12,1853.5253,1807.4541,1722642617.0,1816.7804,1816.6432,1850.1058,29813928918.0
399808.XSHE,2018-03-13,1850.6067,1850.1058,1353978948.0,1848.0913,1834.5045,1835.7061,21316680345.0
399808.XSHE,2018-03-14,1850.7615,1835.7061,1408469156.0,1830.6897,1822.279,1822.5510000000002,23714917318.0
399808.XSHE,2018-03-15,1831.7544,1822.5510000000002,1474382342.0,1821.4966,1812.0925,1831.5835,21454787155.0
399808.XSHE,2018-03-16,1837.0609,1831.5835,1261008236.0,1832.2022,1813.6996,1813.8658,17933787450.0
399808.XSHE,2018-03-19,1824.5749,1813.8658,1133885493.0,1809.4389,1803.0462,1813.9270000000001,15637533193.0
399808.XSHE,2018-03-20,1815.9967,1813.9270000000001,1120037027.0,1802.6001,1796.4962,1814.0483,15985979532.0
399808.XSHE,2018-03-21,1837.0054,1814.0483,1236451262.0,1821.5272,1801.4703,1803.8125,18794736647.0
399808.XSHE,2018-03-22,1815.0501,1803.8125,1069939038.0,1806.25,1783.6668,1797.0493,15143093868.0
399808.XSHE,2018-03-23,1758.1785,1797.0493,1904395428.0,1734.7354,1690.1972,1713.404,25834048026.0
399808.XSHE,2018-03-26,1741.4247,1713.404,1322535322.0,1687.672,1680.8437,1741.3686,19520363140.0
399808.XSHE,2018-03-27,1785.7679999999998,1741.3686,1427008365.0,1761.8220000000001,1761.5047,1784.3914,22455235399.0
399808.XSHE,2018-03-28,1772.1096,1784.3914,1087468987.0,1754.2159,1750.0533,1752.9912,19015921983.0
399808.XSHE,2018-03-29,1767.463,1752.9912,959129176.0,1760.3378,1732.6612,1748.3821,16445967845.0
399808.XSHE,2018-03-30,1769.6504,1748.3821,1019010813.0,1751.8845,1751.2779999999998,1768.9008,17285204132.0
399808.XSHE,2018-04-02,1777.7077,1768.9008,1296005065.0,1776.1689999999999,1758.8598,1761.1251,21385374807.0
399808.XSHE,2018-04-03,1745.0018,1761.1251,1026362100.0,1734.7626,1719.8502,1733.3424,16418830805.0
399808.XSHE,2018-04-04,1745.481,1733.3424,1116891353.0,1739.6222,1714.8486,1716.5819,16165271878.0
399808.XSHE,2018-04-09,1724.6039,1716.5819,1023761844.0,1709.7025,1700.645,1713.7296,14011501009.0
399808.XSHE,2018-04-10,1725.4653,1713.7296,1054220387.0,1718.1584,1706.0765,1724.2875,15482322823.0
399808.XSHE,2018-04-11,1740.4203,1724.2875,1033209084.0,1730.9983,1727.9407,1733.8421,14629236795.0
399808.XSHE,2018-04-12,1733.3237,1733.8421,874281550.0,1731.0447,1709.1576,1713.3509,13105929028.0
399808.XSHE,2018-04-13,1726.9502,1713.3509,768875018.0,1720.2117,1703.2805,1710.3841,12503374058.0
399808.XSHE,2018-04-16,1709.2195,1710.3841,906953900.0,1704.7462,1685.1691,1695.335,12786120874.0
399808.XSHE,2018-04-17,1707.1552,1695.335,1104308585.0,1699.457,1654.3538,1655.6812,16221140323.0
399808.XSHE,2018-04-18,1686.4215,1655.6812,1232269136.0,1665.1964,1633.9656,1682.3937,18785506680.0
399808.XSHE,2018-04-19,1712.9716,1682.3937,1324658231.0,1680.6581,1679.6285,1703.1121,18474338114.0
399808.XSHE,2018-04-20,1699.5358,1703.1121,1163776008.0,1698.0539,1665.858,1669.9317,15344491208.0
399808.XSHE,2018-04-23,1680.8598,1669.9317,941008617.0,1668.6217,1646.1328,1661.2432,13280478112.0
399808.XSHE,2018-04-24,1698.45,1661.2432,1043600638.0,1662.8284,1660.6656,1697.1932,15689188608.0
399808.XSHE,2018-04-25,1692.644,1697.1932,879817163.0,1689.9875,1680.4496,1684.7968,13440885235.0
399808.XSHE,2018-04-26,1681.1623,1684.7968,1143941845.0,1680.6814,1646.5573,1647.1997,16006437013.0
399808.XSHE,2018-04-27,1657.953,1647.1997,850904418.0,1653.7348,1638.1183,1650.8023,11838757818.0
399808.XSHE,2018-05-02,1658.49,1650.8023,836618942.0,1650.6571,1637.9488,1647.2687,12084835142.0
399808.XSHE,2018-05-03,1666.3655,1647.2687,969372984.0,1648.6978,1631.5137,1664.1324,13999645899.0
399808.XSHE,2018-05-04,1671.3959,1664.1324,822962563.0,1659.6411,1657.6751,1659.6932,12161500441.0
399808.XSHE,2018-05-07,1705.0318,1659.6932,1106079554.0,1662.6938,1661.5156,1704.8310000000001,19221189262.0
399808.XSHE,2018-05-08,1716.9844,1704.8310000000001,986118147.0,1704.8747,1702.5683,1713.8135,17071382481.0
399808.XSHE,2018-05-09,1717.0492,1713.8135,837730919.0,1714.0859,1706.5335,1713.2651,13491388916.0
399808.XSHE,2018-05-10,1725.1415,1713.2651,914663034.0,1715.704,1705.6427,1717.3853,15234774807.0
399808.XSHE,2018-05-11,1734.4268,1717.3853,1282396880.0,1721.4053,1720.7712,1723.2228,20233415896.0
399808.XSHE,2018-05-14,1743.8046,1723.2228,1317582126.0,1723.9552,1723.9552,1729.9155,19862411693.0
399808.XSHE,2018-05-15,1740.5736,1729.9155,1010142333.0,1734.0703,1723.2568,1740.3034,15570702753.0
399808.XSHE,2018-05-16,1744.9643,1740.3034,986642893.0,1736.0568,1730.0268,1731.9908,15909641548.0
399808.XSHE,2018-05-17,1733.3570000000002,1731.9908,781014842.0,1731.318,1705.8299,1711.9518,13211199007.0
399808.XSHE,2018-05-18,1715.7789,1711.9518,879496343.0,1712.7933,1697.3214,1714.2013,13848399278.0
399808.XSHE,2018-05-21,1739.0547,1714.2013,1111619330.0,1725.9297,1725.9297,1733.8299,17432816614.0
399808.XSHE,2018-05-22,1733.476,1733.8299,999980696.0,1733.4495,1718.8885,1730.9395,14708621787.0
